ID,species
140217-A,victoriae
140217-B,victoriae
140217-C,victoriae
250,victoriae
251,victoriae
36968-A,victoriae
36968-B,victoriae
36968-C,victoriae
36968-E,victoriae
36968-F,victoriae
37157-A,victoriae
830,victoriae
881-19,victoriae
903,victoriae
93825-B,victoriae
93825-C,victoriae
94825-A,victoriae
94857-A,victoriae
94857-B,victoriae
94858-A,victoriae
94866-A,victoriae
94866-B,victoriae
94869-A,victoriae
94869-B,victoriae
AAD141,victoriae
E5492A,victoriae
E5492B,victoriae
E5492C,victoriae
E5492D,victoriae
E5492E,victoriae
E5493A,hexactis
E5493B,hexactis
E5493C,hexactis
E5493D,hexactis
E5493E,hexactis
E5493F,hexactis
E5493G,hexactis
E5493H,hexactis
E5493I,hexactis
E5493J,hexactis
E5524A,victoriae
E5524B,victoriae
E5524C,victoriae
E5524D,victoriae
E5524E,victoriae
E6408,hexactis
E6420,hexactis
IE_2009_4672,victoriae
IE_2009_4675,victoriae
IE_2009_4676,victoriae
IE_2009_4679,victoriae
IE_2009_4687A,victoriae
IE_2009_4690,victoriae
IE_2009_4702,victoriae
IE_2009_4703,victoriae
IE_2009_4707,victoriae
IE_2009_4713,victoriae
IE_2009_4726,victoriae
IE_2009_4731,victoriae
IE_2009_4734,victoriae
IE_2009_4753,victoriae
IE_2009_4754,victoriae
IE_2009_4763,victoriae
IE_2009_4767,victoriae
N0071,victoriae
N0072,victoriae
N0073,victoriae
N0074,victoriae
N0075,victoriae
N0078,victoriae
N0079,victoriae
N0080,victoriae
N0121,victoriae
N0122,victoriae
N0123,victoriae
PDIVA-C,victoriae
PDIVA-D,victoriae
PDIVA-E,victoriae
PDIVA-G,victoriae
PDIVA-I,victoriae
PNG703,victoriae
PNG708,victoriae
PNG710,victoriae
S0036A,hexactis
S0036B,hexactis
S0036C,hexactis
S0036D,hexactis
S0036E,hexactis
S0036F,hexactis
S0036G,hexactis
S0036H,hexactis
S0036I,hexactis
S0036J,hexactis
S0185,victoriae
S0460,victoriae
S0539-B,victoriae
S0539-D,victoriae
S0990A,victoriae
S0990C,victoriae
S1312H,victoriae
S1312I,victoriae
S3070,hexactis
S3533O,hexactis
S3753,hexactis
S3754,hexactis
S3755,hexactis
S3756,hexactis
S3757,hexactis
S3758,hexactis
S3759,hexactis
S3760,hexactis
S4306,victoriae
S4307,victoriae
S4308,victoriae
S4309,victoriae
S4310,victoriae
S4472K,victoriae
S4472L,victoriae
S4472M,victoriae
S4472N,victoriae
S4472O,victoriae
S5741-B,victoriae
S5741-C,victoriae
S5741-F,victoriae
S5742,victoriae
S5743,victoriae
S6316A,victoriae
S6316B,victoriae
S6338A,victoriae
S6338B,victoriae
S6741,victoriae
S6743,victoriae
S6760-A,victoriae
S6760-B,victoriae
S6775A,victoriae
S6905A,victoriae
S6905B,victoriae
WAMZ43230,hexactis
WAMZ43231,hexactis
WAMZ43232,hexactis
WAMZ43233,hexactis
WAMZ43234,hexactis
WAMZ43235,hexactis
WAMZ43236,hexactis
WAMZ43237,hexactis
WAMZ43238,hexactis
WAMZ43239,hexactis
WAMZ444965,victoriae
WAMZ44590,victoriae
WAMZ44932,victoriae
WAMZ44948,victoriae
WAMZ44949,victoriae
WAMZ44950,victoriae
WAMZ44951,victoriae
WAMZ44953,victoriae
WAMZ44954,victoriae
WAMZ44955,victoriae
WAMZ44956,victoriae
WAMZ44957,victoriae
WAMZ44958,victoriae
WAMZ44962,victoriae
WAMZ44963,victoriae
WAMZ88554,victoriae
WAMZ88555,victoriae
WAMZ88556,victoriae
WAMZ88558,victoriae
WAMZ88559,victoriae
WAMZ88563,victoriae
WAMZ88568,victoriae
WAMZ88570,victoriae
WAMZ88571,victoriae
WAMZ88572,victoriae
WAMZ88573,victoriae
WAMZ88574,victoriae
WAMZ88575,victoriae
WAMZ88576,victoriae
WAMZ88577,victoriae
WAMZ88578,victoriae
WAMZ88579,victoriae
WAMZ88583,victoriae
WAMZ88584,victoriae
WAMZ88585,victoriae
WAMZ88586,victoriae
WAMZ88587,victoriae
WAMZ88588,victoriae
WAMZ88590,victoriae
WAMZ88591,victoriae
WAMZ88592,victoriae
WAMZ88593,victoriae
WAMZ88594,victoriae
WAMZ88595,victoriae
WAMZ88596,victoriae
WAMZ88597,victoriae
WAMZ88598,victoriae
WAMZ88599,victoriae