ID,ecotype
140217-A,deep
140217-B,deep
140217-C,deep
250,deep
251,deep
36968-A,shelf
36968-B,shelf
36968-C,shelf
36968-E,shelf
36968-F,shelf
37157-A,shelf
830,deep
881-11,deep
881-19,deep
903,shelf
93825-B,shelf
93825-C,shelf
94825-A,shelf
94857-A,island
94857-B,island
94858-A,shelf
94866-A,shelf
94866-B,shelf
94869-A,shelf
94869-B,shelf
AAD107,shelf
AAD141,shelf
E5492A,island
E5492B,island
E5492C,island
E5492D,island
E5492E,island
E5524A,island
E5524B,island
E5524C,island
E5524D,island
E5524E,island
E6408,island
E6420,island
IE_2009_4672,deep
IE_2009_4675,shelf
IE_2009_4676,deep
IE_2009_4679,deep
IE_2009_4687A,shelf
IE_2009_4690,shelf
IE_2009_4702,shelf
IE_2009_4703,shelf
IE_2009_4707,shelf
IE_2009_4713,shelf
IE_2009_4726,shelf
IE_2009_4731,shelf
IE_2009_4734,shelf
IE_2009_4753,shelf
IE_2009_4754,shelf
IE_2009_4763,shelf
IE_2009_4767,shelf
N0071,shelf
N0072,shelf
N0073,shelf
N0074,shelf
N0075,shelf
N0078,island
N0079,island
N0080,island
N0121,island
N0122,island
N0123,island
N0125,island
PDIVA-C,shelf
PDIVA-D,shelf
PDIVA-E,shelf
PDIVA-G,shelf
PDIVA-I,shelf
PNG703,shelf
PNG708,shelf
PNG710,shelf
S0185,island
S0460,island
S0539-B,island
S0539-D,island
S0990A,island
S0990C,island
S1312H,island
S1312I,island
S4306,island
S4307,island
S4308,island
S4309,island
S4310,island
S4472K,island
S4472L,island
S4472M,island
S4472N,island
S4472O,island
S5741-B,island
S5741-C,island
S5741-F,island
S5742,island
S5743,island
S6316A,island
S6316B,island
S6338A,island
S6338B,island
S6741,island
S6743,island
S6760-A,island
S6760-B,island
S6775A,island
S6905A,island
S6905B,island
WAMZ444965,island
WAMZ44590,island
WAMZ44932,island
WAMZ44948,island
WAMZ44949,island
WAMZ44950,island
WAMZ44951,island
WAMZ44953,island
WAMZ44954,island
WAMZ44955,island
WAMZ44956,island
WAMZ44957,island
WAMZ44958,island
WAMZ44962,island
WAMZ44963,island
WAMZ88554,shelf
WAMZ88555,shelf
WAMZ88556,shelf
WAMZ88558,shelf
WAMZ88559,shelf
WAMZ88563,shelf
WAMZ88568,shelf
WAMZ88570,shelf
WAMZ88571,shelf
WAMZ88572,shelf
WAMZ88573,shelf
WAMZ88574,shelf
WAMZ88575,shelf
WAMZ88576,shelf
WAMZ88577,shelf
WAMZ88578,shelf
WAMZ88579,shelf
WAMZ88583,shelf
WAMZ88584,shelf
WAMZ88585,shelf
WAMZ88586,shelf
WAMZ88587,shelf
WAMZ88588,shelf
WAMZ88590,deep
WAMZ88591,deep
WAMZ88592,deep
WAMZ88593,deep
WAMZ88594,deep
WAMZ88595,shelf
WAMZ88596,shelf
WAMZ88597,shelf
WAMZ88598,shelf
WAMZ88599,shelf